,um_id,userid,name,movieid
3391,1200853798,12008,彭于晏的lover,53798
3392,1200850738,12008,彭于晏的lover,50738
3393,1200854433,12008,彭于晏的lover,54433
3394,1201052022,12010,Grace留在了27,52022
3395,1201053390,12010,Grace留在了27,53390
3396,1201254508,12012,扭扭,54508
3397,1201251381,12012,扭扭,51381
3398,1201253539,12012,扭扭,53539
3399,1201351957,12013,Solsiden,51957
3400,1201352611,12013,Solsiden,52611
3401,1201351510,12013,Solsiden,51510
3402,1201350742,12013,Solsiden,50742
3403,1201454050,12014,肖申克的舅叔,54050
3404,1201450744,12014,肖申克的舅叔,50744
3405,1201453231,12014,肖申克的舅叔,53231
3406,1201453986,12014,肖申克的舅叔,53986
3407,1201650749,12016,阿芒,50749
3408,1201851350,12018,绿水怪,51350
3409,1201850751,12018,绿水怪,50751
3410,1201952184,12019,默2.0,52184
3411,1202051302,12020,rebacca不是猫,51302
3412,1202052101,12020,rebacca不是猫,52101
3413,1202053095,12020,rebacca不是猫,53095
3414,1202250884,12022,farewell,50884
3415,1202250754,12022,farewell,50754
3416,1202253438,12022,farewell,53438
3417,1202252112,12022,farewell,52112
3418,1202350755,12023,XIN,50755
3419,1202651288,12026,sofiayan,51288
3420,1202650757,12026,sofiayan,50757
3421,1202850759,12028,Janice man,50759
3422,1203050765,12030,再来一瓶伏特加,50765
3423,1203152066,12031,一只花画,52066
3424,1203352961,12033,糕条,52961
3425,1203350769,12033,糕条,50769
3426,1203551925,12035,蒤鸦,51925
3427,1203551400,12035,蒤鸦,51400
3428,1203551895,12035,蒤鸦,51895
3429,1203953618,12039,出走的娜拉,53618
3430,1203951496,12039,出走的娜拉,51496
3431,1203951729,12039,出走的娜拉,51729
3432,1204050773,12040,蘑菇菇凉啊,50773
3433,1204051358,12040,蘑菇菇凉啊,51358
3434,1204153853,12041,Scarlett,53853
3435,1204154225,12041,Scarlett,54225
3436,1204150774,12041,Scarlett,50774
3437,1204152702,12041,Scarlett,52702
3438,1204354000,12043,aaa,54000
3439,1204552560,12045,Richiemama,52560
3440,1204553046,12045,Richiemama,53046
3441,1204650776,12046,机车少女露露酱,50776
3442,1204951319,12049,木兰,51319
3443,1204951656,12049,木兰,51656
3444,1205152297,12051,K姑娘,52297
3445,1205150777,12051,K姑娘,50777
3446,1205151683,12051,K姑娘,51683
3447,1205353788,12053,Suzanne,53788
3448,1205551896,12055,Z,51896
3449,1205554390,12055,Z,54390
3450,1205551575,12055,Z,51575
3451,1205650818,12056,SS,50818
3452,1206150781,12061,阿方索小红帽,50781
3453,1206250782,12062,与不只遇见,50782
3454,1206353333,12063,dujuan,53333
3455,1206351767,12063,dujuan,51767
3456,1207252724,12072,小哥圆君,52724
3457,1207250785,12072,小哥圆君,50785
3458,1207350786,12073,梦,50786
3459,1207351043,12073,梦,51043
3460,1207351260,12073,梦,51260
3461,1207450787,12074,陈喜洋,50787
3462,1207750790,12077,lemon🍋,50790
3463,1207753185,12077,lemon🍋,53185
3464,1207852265,12078,eleven,52265
3465,1207853547,12078,eleven,53547
3466,1208351831,12083,未散,51831
3467,1208452871,12084,荪,52871
3468,1208552438,12085,superxn,52438
3469,1208651666,12086,sasa,51666
3470,1208850962,12088,王豆芽梦想成真,50962
3471,1208953141,12089,一只椰子liu奶,53141
3472,1209053113,12090,安柏安柏安柏,53113
3473,1209053476,12090,安柏安柏安柏,53476
3474,1209153761,12091,winnnggg,53761
3475,1209150795,12091,winnnggg,50795
3476,1209351008,12093,胖哒,51008
3477,1209552831,12095,千泠川上曰,52831
3478,1209550799,12095,千泠川上曰,50799
3479,1209552498,12095,千泠川上曰,52498
3480,1209751770,12097,立青,51770
