source,target,wight
11209,11293,10.934350421017385
12846,10109,14.9071198499986
11259,10019,1.0
11406,10115,9.362506583014756
11215,10115,8.235864093362705
11215,10018,13.241022442571243
11215,11728,1.0
11215,10347,13.767219793848371
11215,10095,15.877683720748895
11215,10545,16.806139112183875
11215,12891,1.0
11215,11776,17.45949755388324
11215,11015,1.0
12515,10115,6.161872754482196
12515,12093,10.714285714285714
10198,11771,1.0
10198,11184,1.0
12341,11715,1.0
12341,11211,1.0
12341,10115,9.059765083337043
12341,12997,1.0
12341,10018,11.328823680740415
12341,12339,9.901475429766744
12341,11091,9.335200560186733
12341,11689,3.6460187841548626
12341,10770,8.553571990445118
11416,10115,12.451456127293808
11416,11184,1.0
11416,10035,7.273929674533079
10007,10019,1.0
13403,13375,1.0
13403,13059,1.0
13403,10898,1.0
12725,10019,1.0
12725,10109,1.0
12725,10115,1.0
11160,10526,11.070186069251193
10155,11689,6.254072988376248
10167,10545,13.389238540091569
10167,10115,11.599633400095508
10090,10884,7.595545253127501
10090,10115,9.843740386976972
10090,10669,8.32250378576479
10090,10019,1.0
10090,13038,1.0
10090,11640,1.0
10090,11728,1.0
12537,10415,5.9868434008924964
12537,13059,1.0
12611,12068,1.0
12611,13059,1.0
12611,10115,1.0
11177,10019,1.0
12786,10347,16.323215627475264
12786,12891,1.0
12786,11015,1.0
13245,10115,1.0
12033,10545,6.333004963811237
12033,10115,8.128201109529439
12033,10035,7.597371763975863
12033,12416,1.0
10062,10415,3.5921060405354983
10062,10115,6.099942813304187
10062,10569,6.910947404650882
10062,10347,9.733285267845753
10062,12530,10.606601717798213
10062,10527,6.255432421712243
10062,10347,9.733285267845753
11776,10126,12.60820036102558
11776,11215,17.45949755388324
11776,10713,1.0
11776,10115,11.945967147042726
11776,12687,12.856486930664502
11776,10134,9.697622757528539
11776,12865,4.351941398892446
11776,12829,8.843153765707637
11776,10347,19.767387315371675
11776,11719,11.826247919781652
11776,10334,17.73937187967248
11776,10408,12.141669877745294
11776,12877,5.504818825631803
11776,13026,3.1782086308186406
11776,10347,19.767387315371675
11776,11990,10.555008273018727
10558,11633,1.0
10558,11771,1.0
10558,10018,1.0
12289,11126,2.002404328658183
12289,10018,10.281451514408314
12289,10545,8.541628435179643
12289,10019,1.0
12289,10881,10.18923932424028
12289,13038,1.0
11891,10545,9.750298988361743
11891,10109,12.974982402692051
11891,11184,1.0
12363,11184,1.0
12363,10545,1.0
12363,11208,1.0
13378,10415,1.0
13378,10115,1.0
13378,10526,8.57492925712544
13378,10019,1.0
13378,10347,4.055535528269064
13378,13375,1.0
13141,11208,10.78327732034384
11681,10115,17.609018126512478
11999,10018,14.679516868351476
10790,12642,10.811249552346707
10790,10115,5.468119624323669
10790,12524,10.350983390135314
13185,10035,13.36306209562122
13185,10115,7.624928516630233
13185,12424,13.58036190637778
13185,10018,9.534625892455924
13185,10545,4.950737714883372
13185,12530,1.0
13185,10526,12.862393885688162
13185,13216,1.0
13185,12327,1.0
13185,10109,10.540925533894598
13185,13375,1.0
10968,10545,1.0
10968,11184,1.0
11063,10545,7.231015260621873
11527,10018,11.328823680740415
12436,12200,15.55866760031122
12436,10115,9.585135395861192
12436,11396,1.0
12436,10526,14.821621529998124
12436,10019,1.0
12436,10770,14.931820976881749
11626,10545,16.888013236829963
11626,11208,9.196009797434057
11387,10998,1.0
11387,10018,7.9524277248754425
11387,10115,7.949537509361167
11387,10018,7.9524277248754425
13008,11208,1.0
13008,10898,1.0
13008,12733,1.0
13008,13132,1.0
10607,11285,1.0
12633,12966,1.0
12633,11689,1.0
12633,10115,1.0
11701,10115,14.156123891862544
11469,10545,1.0
13026,11184,1.0
11125,10545,13.812277665483924
12781,10650,11.547005383792515
12781,10019,1.0
12781,11771,1.0
12781,10035,12.598815766974242
12781,10526,14.14791146045276
12823,12055,1.0
12823,10019,1.0
12823,10115,1.0
12823,10347,1.0
11618,10115,4.933303124557308
11618,10115,4.933303124557308
10780,12055,1.0
10780,12587,1.0
10780,10347,1.0
10780,10115,1.0
10245,10824,27.789595594852635
10245,10115,15.729026546513936
11723,12055,4.211693151426613
11723,10019,1.0
11723,10115,10.104389907637112
11723,10018,10.529232878566532
11410,11208,1.0
11410,10115,1.0
11410,10019,1.0
11410,10035,1.0
11410,10527,1.0
11353,10019,1.0
10168,10545,9.193289141911526
10168,12055,5.311606738473833
10168,10018,7.08214231796511
10168,10347,7.5309404141097245
10168,12321,1.0
11720,10347,10.926834468453098
11720,12443,11.073509950445823
11720,10115,8.804509063256239
13096,10035,15.762208124782015
13096,10019,1.0
13096,10526,15.171652122725208
13014,11557,1.0
13014,12530,1.0
12597,11747,19.247955013413968
12270,10115,6.184633699941168
12270,11276,1.8608073189119672
12270,11728,1.0
12270,13375,1.0
10585,10787,3.883678186903087
10585,10115,5.981486045545791
10585,11565,3.673591791853225
10585,10018,3.7397879600338286
10585,11020,1.0
10585,10998,1.0
10585,10115,5.981486045545791
10585,12881,5.783149319662402
13213,12423,1.0
13213,11715,1.0
13213,10115,1.0
13213,12681,1.0
13213,12365,1.0
13213,10115,1.0
13236,10019,1.0
12263,10999,6.262242910851495
12263,10115,5.568460463897045
12263,10266,10.206207261596575
12263,10347,7.404360971988654
12263,10545,5.423261445466404
12263,11299,3.419927840283847
12263,11689,8.403658068160178
12263,12787,9.128709291752768
12263,10109,3.849001794597505
12263,13026,10.0
12263,11208,3.9374961547907885
12263,12566,5.423261445466404
12263,11422,1.0
12263,11276,4.188539082916955
12263,10115,5.568460463897045
12263,11949,9.415544714433869
11831,10109,1.0
11831,11208,1.0
10333,12327,1.0
10333,11276,1.0
10333,10898,10.33622788243404
10333,12524,22.88021576612147
10333,10936,3.0261376633440125
12596,11583,12.009611535381534
12596,11184,1.0
12960,10115,3.8124642583151167
12960,10115,3.8124642583151167
12776,10545,7.001400420140048
12970,10115,6.745406256199319
12970,10347,4.783648732349398
12970,10545,11.679143249475676
12970,11208,12.719260014977868
12970,10109,9.325048082403137
12970,12501,12.76884796138123
12900,10115,1.0
10093,12429,6.228410989030497
10093,12530,9.847982464479191
11900,10545,7.001400420140048
11900,11184,1.0
